TOPIC,THEORY_CARD
Present Continuous (I am doing),"📚 Theory Card: Present Continuous (I am doing) 📚

Theory:

🔹 The Present Continuous tense is used to describe an action that is in progress at the moment of speaking.

🔹 It is formed using the present form of ""to be"" (am, is, are) + the present participle of the main verb (-ing form).

🔹 The Present Continuous tense is often used to talk about actions that are temporary or ongoing.

🔹 It can also be used to express an action that is interrupted by another action.

Examples:

📝 I am studying for my exam right now. (interrupted by another action)

📝 She is working on her project. (ongoing action)

📝 They are not doing anything at the moment. (temporary action)

📝 The company is expanding its business. (ongoing action)

📝 The children are playing outside. (temporary action)

📝 The teacher is grading papers. (ongoing action)

📝 The storm is getting worse. (interrupted by another action)

I hope this theory card helps you understand the Present Continuous tense better! 😊"
Present Simple (I do),"📚 Theory Card: Present Simple (I do) 📚

Theory:

🔹 The Present Simple tense is used to describe habits, routines, and general truths.

🔹 The Present Simple is formed using the base form of the verb (e.g. do, go, eat) and the subject pronoun (e.g. I, you, he/she/it, we, they).

🔹 The Present Simple can be used to talk about things that happen regularly or repeatedly, such as daily routines or general truths.

🔹 There are several exceptions to the rule, such as the verb ""to be"" and its forms (am, is, are).

Examples:

👉 I do yoga every morning.
👉 She goes to the gym three times a week.
👉 They are studying English every day.

🔹 The Present Simple can also be used to talk about future plans or arrangements, using the auxiliary verb ""will"" or ""be going to.""

👉 I will do my homework tonight.
👉 They are going to visit their grandparents next week.

🔹 Additionally, the Present Simple can be used to express a request or a command, using the auxiliary verb ""let"" or ""make.""

👉 Let's go to the movies tonight.
👉 Make sure to finish your homework before dinner.

🔹 And, the Present Simple can be used to express a possibility or a hypothetical situation, using the auxiliary verb ""would.""

👉 I would study harder if I were you.
👉 They would be late if they didn't hurry up.

🔹 That's it! The Present Simple tense is a versatile and widely used tense in English, and mastering it will help you communicate more effectively in everyday situations. 📚"
Comparison of Present Continuous and Present Simple 1 (Usage differences and contexts),"📚 Theory Card: Comparison of Present Continuous and Present Simple 1 (Usage differences and contexts) 📚

Theory:

The Present Continuous and Present Simple tenses are often used interchangeably, but they have distinct differences in usage and context. Here are the key differences:

🔹 Present Continuous (PC): Used to describe an action that is in progress at the moment of speaking, and has a temporary or changing nature.

🔹 Present Simple (PS): Used to describe an action that is happening repeatedly, generally, or as a habit.

Here are some examples to illustrate the differences:

🔹 PC:

* I am studying for my exam right now. (temporary action)
* She is working on her project this week. (changing nature)
* They are rehearsing for their play every day. (in progress)

🔹 PS:

* I go to the gym three times a week. (habit)
* She likes to read books in her free time. (generally)
* They have a meeting every morning at 9 am. (repeated action)

In summary, the Present Continuous is used for temporary or changing actions, while the Present Simple is used for habitual or general actions.

📚 Examples:

* I am studying for my exam right now (PC)
* I go to the gym three times a week (PS)
* She is working on her project this week (PC)
* She likes to read books in her free time (PS)
* They are rehearsing for their play every day (PC)
* They have a meeting every morning at 9 am (PS)"
Comparison of Present Continuous and Present Simple 2 (Further explanations and examples),"📚 Theory Card: Comparison of Present Continuous and Present Simple 2 📚

Theory:

The Present Continuous and Present Simple tenses are both used to describe actions that are happening now, but they have some differences in their usage and meaning.

🔹 Present Continuous:

* Used to describe an action that is in progress at the moment of speaking.
* Indicates that the action is temporary or ongoing.
* Used with ""be"" verbs (am, is, are, be, being, been).

Examples:

👉 I am studying for my exam right now.
👉 She is writing a letter to her friend.
👉 They are having a meeting at 2 PM.

🔹 Present Simple:

* Used to describe an action that is true in general, but not necessarily happening at the moment of speaking.
* Indicates that the action is permanent or habitual.
* Used with all verbs, not just ""be"" verbs.

Examples:

👉 I study English every day.
👉 She goes to the gym three times a week.
👉 They have a meeting every Monday.

🔹 Comparison:

* Use the Present Continuous when the action is temporary or ongoing, and the Present Simple when the action is permanent or habitual.
* The Present Continuous is more formal than the Present Simple.

📝 Examples:

👉 I am studying for my exam right now (Present Continuous).
👉 I study English every day (Present Simple).
👉 They have a meeting every Monday (Present Simple).

🔔 Note:

* The Present Continuous and Present Simple can be used together to emphasize the temporary or ongoing nature of the action.

👉 I am studying for my exam right now, but I will finish soon. (Present Continuous + Present Simple)

👉 She is writing a letter to her friend, but she will finish later. (Present Continuous + Present Simple)

👉 They are having a meeting at 2 PM, but it will last for an hour. (Present Continuous + Present Simple)"
Past Simple (I did),"📚 Theory Card: Past Simple (I did) 📝

Theory:

🔹 The Past Simple tense is used to describe actions or events that happened in the past and were completed at a specific time.

🔹 The Past Simple is formed using the infinitive form of the verb without ""to"" and the subject pronouns ""I"" and ""we"" use ""did"" instead of ""do"".

🔹 The Past Simple can be used to talk about past habits, past events, past experiences, and past actions that were completed at a specific time.

🔹 There are three main aspects of the Past Simple: Simple Past, Past Continuous, and Past Perfect.

Examples:

📝 I did my homework last night. (Simple Past)

📝 She was studying when I arrived. (Past Continuous)

📝 They had finished their project before the deadline. (Past Perfect)

🔹 The Past Simple can also be used in clauses with ""when"", ""before"", ""after"", and ""while"" to talk about past events and actions.

📝 I went to the store when I saw the sale. (Past Simple in a clause with ""when"")

📝 They had not eaten dinner before they went to the party. (Past Simple in a clause with ""before"")

📝 I was studying for my exam while my friend was watching TV. (Past Simple in a clause with ""while"")

I hope this theory card helps you understand the Past Simple tense better! 😊"
Past Continuous (I was doing),"📚 Theory Card: Past Continuous (I was doing) 📚

Theory:

🔹 The Past Continuous tense is used to describe an action that was in progress at a specific point in the past.

🔹 It is formed using the past simple of the auxiliary verb ""be"" (was/were) and the present participle of the main verb.

🔹 The Past Continuous tense is often used to show that an action was in progress at a specific point in the past, and then interrupted by another action or event.

Examples:

📝 I was studying for my exam when the doorbell rang. (interrupted by the doorbell)

📝 She was cooking dinner when her phone rang. (interrupted by the phone call)

📝 They were watching TV when the power went out. (interrupted by the power outage)

🔹 Note: The Past Continuous tense can also be used to show that an action was in progress at a specific point in the past, but not interrupted by another action or event.

📝 I was studying for my exam all morning. (no interruption)

📝 She was cooking dinner all evening. (no interruption)

📝 They were watching TV all night. (no interruption)

I hope this theory card helps you understand the Past Continuous tense better! 😊"
Introduction to Present Perfect (I have done) - Basic uses and formation,"📚 Theory Card: Introduction to Present Perfect (I have done) - Basic Uses and Formation 📚

Theory:

The Present Perfect tense is used to describe an action that started in the past and continues up to the present moment. It is formed using the present tense of ""have"" + the past participle of the main verb. The Present Perfect is used to talk about experiences, events, and actions that have happened at an unspecified time in the past, but are still relevant now.

Here are some basic uses and exceptions of the Present Perfect tense:

🔹 To talk about experiences and events in the past that are still relevant now:

* I have traveled to many countries. (The action of traveling started in the past and continues up to the present.)
* She has just moved to a new house. (The action of moving started in the past and is still ongoing.)

🔹 To talk about actions that started in the past and are still in progress:

* I have been studying English for three years. (The action of studying started in the past and is still ongoing.)
* They have been working on the project for months. (The action of working started in the past and is still ongoing.)

🔹 To talk about actions that happened at an unspecified time in the past:

* I have never been to Paris. (The action of going to Paris happened at an unspecified time in the past.)
* She has always been a good student. (The action of being a good student happened at an unspecified time in the past.)

Examples:

📝 I have done my homework. (The action of doing homework started in the past and is now completed.)
📝 They have just arrived. (The action of arriving started in the past and is now completed.)
📝 I have been learning English for two years. (The action of learning English started in the past and is still ongoing.)

Remember, the Present Perfect tense is a versatile tense that can be used in a variety of ways to talk about the past and the present. Practice using it in your everyday conversations and writing to improve your English skills! 💪"
Advanced Present Perfect (I have done) - Complex sentences and exceptions,"Theory Card: Advanced Present Perfect (I have done) - Complex Sentences and Exceptions 📚

Theory:
The Advanced Present Perfect tense (I have done) is used to describe an action that started and finished in the past, but the result of the action is still relevant to the present. It is formed using the present perfect form of ""have"" (have done) and the past participle of the main verb.

Here are some complex sentences and exceptions to keep in mind:

🔵 Exception 1: When the action started and finished in the past is not specified, we use the present perfect tense.

Example: I have done my homework, but I haven't finished yet.

🔵 Exception 2: When the action started in the past and continues up to the present, we use the present perfect tense.

Example: I have been studying English for three years, and I still have a lot to learn.

🔵 Complex Sentence 1: When using the present perfect tense with ""since"" and ""for,"" we need to use the present perfect form of ""have"" (have done).

Example: I have been studying English since I was a teenager.

🔵 Complex Sentence 2: When using the present perfect tense with ""ago,"" we need to use the past participle of the main verb.

Example: I did my homework two hours ago.

Examples:

📝 I have been waiting for three hours, but the concert still hasn't started.

📝 She has just finished her homework, and now she can go out and play.

📝 They have been studying English for a year, and their language skills have improved a lot.

I hope this theory card helps you understand the Advanced Present Perfect tense and its complex sentences and exceptions! 😊"
Present Perfect Continuous (I have been doing),"📚 Theory Card: Present Perfect Continuous (I have been doing) 📚

Theory:

* The Present Perfect Continuous tense is used to describe an action that started in the past and continues up to the present moment.
* It is formed using the present perfect form of ""have"" (have been) and the present participle of the main verb (doing).
* The Present Perfect Continuous is used to show that an action has been in progress for a period of time and is still ongoing.

Examples:

📝 I have been studying English for three years. (I started studying English three years ago and I am still studying now.)

📝 She has been working at the company for ten months. (She started working at the company ten months ago and she is still working there now.)

📝 They have been living in Tokyo for five years. (They started living in Tokyo five years ago and they are still living there now.)

📝 The company has been expanding its business globally. (The company started expanding its business globally some time in the past and it is still expanding now.)

📝 The research has been ongoing for two years. (The research started two years ago and it is still ongoing now.)"
Comparing Present Perfect Continuous and Simple (Usage and differences),"📚 Theory Card: Comparing Present Perfect Continuous and Simple (Usage and differences) 📚

Theory:

🔹 The Present Perfect Continuous (PPC) and the Simple Present (SP) are both used to talk about actions that started in the past and continue up to the present moment.

🔹 However, there are some key differences between the two tenses:

🔺 PPC emphasizes the duration and completion of an action, while SP emphasizes the fact that an action started and continues up to the present.

🔺 PPC is used to talk about actions that have a specific time frame, while SP is used to talk about actions that started in the past and continue indefinitely.

🔺 PPC is more formal than SP and is often used in formal writing and speaking.

Examples:

📝 PPC: I have been studying English for three years now, and I can finally hold a conversation in the language. (emphasizes the duration and completion of the action)

📝 SP: I have been studying English for three years, and I can finally hold a conversation in the language. (emphasizes the fact that the action started and continues indefinitely)

📝 PPC: She has been working at the company for five months, and she is still learning new things. (emphasizes the duration and completion of the action)

📝 SP: She has been working at the company for five months, and she is still learning new things. (emphasizes the fact that the action started and continues indefinitely)

🔹 In summary, PPC is used to talk about completed actions with a specific time frame, while SP is used to talk about actions that started in the past and continue indefinitely. Both tenses are important and can be used in different contexts to convey different meanings."
